window_start,window_end,window_index,Open_day1,Open_day2,Open_day3,Open_day4,Open_day5,Open_day6,Open_day7,High_day1,High_day2,High_day3,High_day4,High_day5,High_day6,High_day7,Low_day1,Low_day2,Low_day3,Low_day4,Low_day5,Low_day6,Low_day7,Close_day1,Close_day2,Close_day3,Close_day4,Close_day5,Close_day6,Close_day7,Volume_day1,Volume_day2,Volume_day3,Volume_day4,Volume_day5,Volume_day6,Volume_day7,Number_of_Trades_day1,Number_of_Trades_day2,Number_of_Trades_day3,Number_of_Trades_day4,Number_of_Trades_day5,Number_of_Trades_day6,Number_of_Trades_day7,Return_%_day1,Return_%_day2,Return_%_day3,Return_%_day4,Return_%_day5,Return_%_day6,Return_%_day7,Volatility_day1,Volatility_day2,Volatility_day3,Volatility_day4,Volatility_day5,Volatility_day6,Volatility_day7,Taker_Buy_Base_Volume_day1,Taker_Buy_Base_Volume_day2,Taker_Buy_Base_Volume_day3,Taker_Buy_Base_Volume_day4,Taker_Buy_Base_Volume_day5,Taker_Buy_Base_Volume_day6,Taker_Buy_Base_Volume_day7
2014-09-27,2014-10-03,10,403.556,399.471008,376.928009,376.088013,387.427002,383.988007,375.181,406.622986,401.016998,385.210999,390.97699,391.378998,385.497009,377.695007,397.372009,374.332001,372.23999,373.442993,380.779999,372.946014,357.859009,399.519989,377.181,375.46701,386.944,383.61499,375.071991,359.511993,15029300,23613300,32497700,34707300,26229400,21777700,30901200,,,,,,,,-1.212833,-5.591457,-0.454421,3.056724,-0.860334,-2.226972,-4.148536,2.292365,6.680084,3.441243,4.662206,2.735741,3.26859,5.287048,,,,,,,
2014-09-28,2014-10-04,11,399.471008,376.928009,376.088013,387.427002,383.988007,375.181,359.891998,401.016998,385.210999,390.97699,391.378998,385.497009,377.695007,364.487,374.332001,372.23999,373.442993,380.779999,372.946014,357.859009,325.885986,377.181,375.46701,386.944,383.61499,375.071991,359.511993,328.865997,23613300,32497700,34707300,26229400,21777700,30901200,47236500,,,,,,,,-5.591457,-0.454421,3.056724,-0.860334,-2.226972,-4.148536,-8.524332,6.680084,3.441243,4.662206,2.735741,3.26859,5.287048,10.725721,,,,,,,
2014-09-29,2014-10-05,12,376.928009,376.088013,387.427002,383.988007,375.181,359.891998,328.915985,385.210999,390.97699,391.378998,385.497009,377.695007,364.487,341.800995,372.23999,373.442993,380.779999,372.946014,357.859009,325.885986,289.29599,375.46701,386.944,383.61499,375.071991,359.511993,328.865997,320.51001,32497700,34707300,26229400,21777700,30901200,47236500,83308096,,,,,,,,-0.454421,3.056724,-0.860334,-2.226972,-4.148536,-8.524332,-2.540849,3.441243,4.662206,2.735741,3.26859,5.287048,10.725721,15.963044,,,,,,,
2014-09-30,2014-10-06,13,376.088013,387.427002,383.988007,375.181,359.891998,328.915985,320.389008,390.97699,391.378998,385.497009,377.695007,364.487,341.800995,345.134003,373.442993,380.779999,372.946014,357.859009,325.885986,289.29599,302.559998,386.944,383.61499,375.071991,359.511993,328.865997,320.51001,330.07901,34707300,26229400,21777700,30901200,47236500,83308096,79011800,,,,,,,,3.056724,-0.860334,-2.226972,-4.148536,-8.524332,-2.540849,2.985554,4.662206,2.735741,3.26859,5.287048,10.725721,15.963044,13.288223,,,,,,,
2014-10-01,2014-10-07,14,387.427002,383.988007,375.181,359.891998,328.915985,320.389008,330.584015,391.378998,385.497009,377.695007,364.487,341.800995,345.134003,339.247009,380.779999,372.946014,357.859009,325.885986,289.29599,302.559998,320.481995,383.61499,375.071991,359.511993,328.865997,320.51001,330.07901,336.187012,26229400,21777700,30901200,47236500,83308096,79011800,49199900,,,,,,,,-0.860334,-2.226972,-4.148536,-8.524332,-2.540849,2.985554,1.850467,2.735741,3.26859,5.287048,10.725721,15.963044,13.288223,5.676322,,,,,,,
2014-10-02,2014-10-08,15,383.988007,375.181,359.891998,328.915985,320.389008,330.584015,336.115997,385.497009,377.695007,364.487,341.800995,345.134003,339.247009,354.364014,372.946014,357.859009,325.885986,289.29599,302.559998,320.481995,327.187988,375.071991,359.511993,328.865997,320.51001,330.07901,336.187012,352.940002,21777700,30901200,47236500,83308096,79011800,49199900,54736300,,,,,,,,-2.226972,-4.148536,-8.524332,-2.540849,2.985554,1.850467,4.983236,3.26859,5.287048,10.725721,15.963044,13.288223,5.676322,8.085312,,,,,,,
2014-10-03,2014-10-09,16,375.181,359.891998,328.915985,320.389008,330.584015,336.115997,352.747986,377.695007,364.487,341.800995,345.134003,339.247009,354.364014,382.726013,357.859009,325.885986,289.29599,302.559998,320.481995,327.187988,347.687012,359.511993,328.865997,320.51001,330.07901,336.187012,352.940002,365.026001,30901200,47236500,83308096,79011800,49199900,54736300,83641104,,,,,,,,-4.148536,-8.524332,-2.540849,2.985554,1.850467,4.983236,3.424378,5.287048,10.725721,15.963044,13.288223,5.676322,8.085312,9.933154,,,,,,,
2014-10-04,2014-10-10,17,359.891998,328.915985,320.389008,330.584015,336.115997,352.747986,364.687012,364.487,341.800995,345.134003,339.247009,354.364014,382.726013,375.066986,325.885986,289.29599,302.559998,320.481995,327.187988,347.687012,352.963013,328.865997,320.51001,330.07901,336.187012,352.940002,365.026001,361.562012,47236500,83308096,79011800,49199900,54736300,83641104,43665700,,,,,,,,-8.524332,-2.540849,2.985554,1.850467,4.983236,3.424378,-0.948971,10.725721,15.963044,13.288223,5.676322,8.085312,9.933154,6.061081,,,,,,,
2014-10-05,2014-10-11,18,328.915985,320.389008,330.584015,336.115997,352.747986,364.687012,361.362,341.800995,345.134003,339.247009,354.364014,382.726013,375.066986,367.19101,289.29599,302.559998,320.481995,327.187988,347.687012,352.963013,355.950989,320.51001,330.07901,336.187012,352.940002,365.026001,361.562012,362.299011,83308096,79011800,49199900,54736300,83641104,43665700,13345200,,,,,,,,-2.540849,2.985554,1.850467,4.983236,3.424378,-0.948971,0.203838,15.963044,13.288223,5.676322,8.085312,9.933154,6.061081,3.11046,,,,,,,
2014-10-06,2014-10-12,19,320.389008,330.584015,336.115997,352.747986,364.687012,361.362,362.605988,345.134003,339.247009,354.364014,382.726013,375.066986,367.19101,379.433014,302.559998,320.481995,327.187988,347.687012,352.963013,355.950989,356.144012,330.07901,336.187012,352.940002,365.026001,361.562012,362.299011,378.549011,79011800,49199900,54736300,83641104,43665700,13345200,17552800,,,,,,,,2.985554,1.850467,4.983236,3.424378,-0.948971,0.203838,4.485245,13.288223,5.676322,8.085312,9.933154,6.061081,3.11046,6.422674,,,,,,,
2014-10-07,2014-10-13,20,330.584015,336.115997,352.747986,364.687012,361.362,362.605988,377.92099,339.247009,354.364014,382.726013,375.066986,367.19101,379.433014,397.226013,320.481995,327.187988,347.687012,352.963013,355.950989,356.144012,368.897003,336.187012,352.940002,365.026001,361.562012,362.299011,378.549011,390.414001,49199900,54736300,83641104,43665700,13345200,17552800,35221400,,,,,,,,1.850467,4.983236,3.424378,-0.948971,0.203838,4.485245,3.134334,5.676322,8.085312,9.933154,6.061081,3.11046,6.422674,7.496014,,,,,,,
2014-10-08,2014-10-14,21,336.115997,352.747986,364.687012,361.362,362.605988,377.92099,391.691986,354.364014,382.726013,375.066986,367.19101,379.433014,397.226013,411.697998,327.187988,347.687012,352.963013,355.950989,356.144012,368.897003,391.324005,352.940002,365.026001,361.562012,362.299011,378.549011,390.414001,400.869995,54736300,83641104,43665700,13345200,17552800,35221400,38491500,,,,,,,,4.983236,3.424378,-0.948971,0.203838,4.485245,3.134334,2.678181,8.085312,9.933154,6.061081,3.11046,6.422674,7.496014,5.201534,,,,,,,
2014-10-09,2014-10-15,22,352.747986,364.687012,361.362,362.605988,377.92099,391.691986,400.954987,382.726013,375.066986,367.19101,379.433014,397.226013,411.697998,402.22699,347.687012,352.963013,355.950989,356.144012,368.897003,391.324005,388.765991,365.026001,361.562012,362.299011,378.549011,390.414001,400.869995,394.77301,83641104,43665700,13345200,17552800,35221400,38491500,25267100,,,,,,,,3.424378,-0.948971,0.203838,4.485245,3.134334,2.678181,-1.520938,9.933154,6.061081,3.11046,6.422674,7.496014,5.201534,3.357234,,,,,,,
2014-10-10,2014-10-16,23,364.687012,361.362,362.605988,377.92099,391.691986,400.954987,394.518005,375.066986,367.19101,379.433014,397.226013,411.697998,402.22699,398.807007,352.963013,355.950989,356.144012,368.897003,391.324005,388.765991,373.070007,361.562012,362.299011,378.549011,390.414001,400.869995,394.77301,382.556,43665700,13345200,17552800,35221400,38491500,25267100,26990000,,,,,,,,-0.948971,0.203838,4.485245,3.134334,2.678181,-1.520938,-3.094692,6.061081,3.11046,6.422674,7.496014,5.201534,3.357234,6.523657,,,,,,,
2014-10-11,2014-10-17,24,361.362,362.605988,377.92099,391.691986,400.954987,394.518005,382.756012,367.19101,379.433014,397.226013,411.697998,402.22699,398.807007,385.477997,355.950989,356.144012,368.897003,391.324005,388.765991,373.070007,375.389008,362.299011,378.549011,390.414001,400.869995,394.77301,382.556,383.757996,13345200,17552800,35221400,38491500,25267100,26990000,13600700,,,,,,,,0.203838,4.485245,3.134334,2.678181,-1.520938,-3.094692,0.314201,3.11046,6.422674,7.496014,5.201534,3.357234,6.523657,2.63588,,,,,,,
2014-10-12,2014-10-18,25,362.605988,377.92099,391.691986,400.954987,394.518005,382.756012,383.976013,379.433014,397.226013,411.697998,402.22699,398.807007,385.477997,395.15799,356.144012,368.897003,391.324005,388.765991,373.070007,375.389008,378.971008,378.549011,390.414001,400.869995,394.77301,382.556,383.757996,391.441986,17552800,35221400,38491500,25267100,26990000,13600700,11416800,,,,,,,,4.485245,3.134334,2.678181,-1.520938,-3.094692,0.314201,2.002301,6.422674,7.496014,5.201534,3.357234,6.523657,2.63588,4.215623,,,,,,,
2014-10-13,2014-10-19,26,377.92099,391.691986,400.954987,394.518005,382.756012,383.976013,391.253998,397.226013,411.697998,402.22699,398.807007,385.477997,395.15799,393.938995,368.897003,391.324005,388.765991,373.070007,375.389008,378.971008,386.457001,390.414001,400.869995,394.77301,382.556,383.757996,391.441986,389.54599,35221400,38491500,25267100,26990000,13600700,11416800,5914570,,,,,,,,3.134334,2.678181,-1.520938,-3.094692,0.314201,2.002301,-0.484362,7.496014,5.201534,3.357234,6.523657,2.63588,4.215623,1.912311,,,,,,,
2014-10-14,2014-10-20,27,391.691986,400.954987,394.518005,382.756012,383.976013,391.253998,389.230988,411.697998,402.22699,398.807007,385.477997,395.15799,393.938995,390.084015,391.324005,388.765991,373.070007,375.389008,378.971008,386.457001,378.252014,400.869995,394.77301,382.556,383.757996,391.441986,389.54599,382.845001,38491500,25267100,26990000,13600700,11416800,5914570,16419000,,,,,,,,2.678181,-1.520938,-3.094692,0.314201,2.002301,-0.484362,-1.720205,5.201534,3.357234,6.523657,2.63588,4.215623,1.912311,3.03984,,,,,,,
2014-10-15,2014-10-21,28,400.954987,394.518005,382.756012,383.976013,391.253998,389.230988,382.42099,402.22699,398.807007,385.477997,395.15799,393.938995,390.084015,392.645996,388.765991,373.070007,375.389008,378.971008,386.457001,378.252014,380.834015,394.77301,382.556,383.757996,391.441986,389.54599,382.845001,386.475006,25267100,26990000,13600700,11416800,5914570,16419000,14188900,,,,,,,,-1.520938,-3.094692,0.314201,2.002301,-0.484362,-1.720205,0.948166,3.357234,6.523657,2.63588,4.215623,1.912311,3.03984,3.088738,,,,,,,
2014-10-16,2014-10-22,29,394.518005,382.756012,383.976013,391.253998,389.230988,382.42099,386.118011,398.807007,385.477997,395.15799,393.938995,390.084015,392.645996,388.575989,373.070007,375.389008,378.971008,386.457001,378.252014,380.834015,382.248993,382.556,383.757996,391.441986,389.54599,382.845001,386.475006,383.15799,26990000,13600700,11416800,5914570,16419000,14188900,11641300,,,,,,,,-3.094692,0.314201,2.002301,-0.484362,-1.720205,0.948166,-0.858275,6.523657,2.63588,4.215623,1.912311,3.03984,3.088738,1.638617,,,,,,,
2014-10-17,2014-10-23,30,382.756012,383.976013,391.253998,389.230988,382.42099,386.118011,382.962006,385.477997,395.15799,393.938995,390.084015,392.645996,388.575989,385.048004,375.389008,378.971008,386.457001,378.252014,380.834015,382.248993,356.446991,383.757996,391.441986,389.54599,382.845001,386.475006,383.15799,358.416992,13600700,11416800,5914570,16419000,14188900,11641300,26456900,,,,,,,,0.314201,2.002301,-0.484362,-1.720205,0.948166,-0.858275,-6.457127,2.63588,4.215623,1.912311,3.03984,3.088738,1.638617,7.468368,,,,,,,
2014-10-18,2014-10-24,31,383.976013,391.253998,389.230988,382.42099,386.118011,382.962006,358.591003,395.15799,393.938995,390.084015,392.645996,388.575989,385.048004,364.345001,378.971008,386.457001,378.252014,380.834015,382.248993,356.446991,353.304993,391.441986,389.54599,382.845001,386.475006,383.15799,358.416992,358.345001,11416800,5914570,16419000,14188900,11641300,26456900,15585700,,,,,,,,2.002301,-0.484362,-1.720205,0.948166,-0.858275,-6.457127,-0.020086,4.215623,1.912311,3.03984,3.088738,1.638617,7.468368,3.078719,,,,,,,
2014-10-19,2014-10-25,32,391.253998,389.230988,382.42099,386.118011,382.962006,358.591003,358.610992,393.938995,390.084015,392.645996,388.575989,385.048004,364.345001,359.860992,386.457001,378.252014,380.834015,382.248993,356.446991,353.304993,342.877014,389.54599,382.845001,386.475006,383.15799,358.416992,358.345001,347.270996,5914570,16419000,14188900,11641300,26456900,15585700,18127500,,,,,,,,-0.484362,-1.720205,0.948166,-0.858275,-6.457127,-0.020086,-3.090319,1.912311,3.03984,3.088738,1.638617,7.468368,3.078719,4.736045,,,,,,,
2014-10-20,2014-10-26,33,389.230988,382.42099,386.118011,382.962006,358.591003,358.610992,347.487,390.084015,392.645996,388.575989,385.048004,364.345001,359.860992,359.221008,378.252014,380.834015,382.248993,356.446991,353.304993,342.877014,343.931,382.845001,386.475006,383.15799,358.416992,358.345001,347.270996,354.70401,16419000,14188900,11641300,26456900,15585700,18127500,11272500,,,,,,,,-1.720205,0.948166,-0.858275,-6.457127,-0.020086,-3.090319,2.140407,3.03984,3.088738,1.638617,7.468368,3.078719,4.736045,4.400167,,,,,,,
2014-10-21,2014-10-27,34,382.42099,386.118011,382.962006,358.591003,358.610992,347.487,354.777008,392.645996,388.575989,385.048004,364.345001,359.860992,359.221008,358.631989,380.834015,382.248993,356.446991,353.304993,342.877014,343.931,349.80899,386.475006,383.15799,358.416992,358.345001,347.270996,354.70401,352.989014,14188900,11641300,26456900,15585700,18127500,11272500,13033000,,,,,,,,0.948166,-0.858275,-6.457127,-0.020086,-3.090319,2.140407,-0.483501,3.088738,1.638617,7.468368,3.078719,4.736045,4.400167,2.486914,,,,,,,
2014-10-22,2014-10-28,35,386.118011,382.962006,358.591003,358.610992,347.487,354.777008,353.214996,388.575989,385.048004,364.345001,359.860992,359.221008,358.631989,359.984009,382.248993,356.446991,353.304993,342.877014,343.931,349.80899,352.678986,383.15799,358.416992,358.345001,347.270996,354.70401,352.989014,357.618011,11641300,26456900,15585700,18127500,11272500,13033000,7845880,,,,,,,,-0.858275,-6.457127,-0.020086,-3.090319,2.140407,-0.483501,1.311372,1.638617,7.468368,3.078719,4.736045,4.400167,2.486914,2.068152,,,,,,,
2014-10-23,2014-10-29,36,382.962006,358.591003,358.610992,347.487,354.777008,353.214996,357.088989,385.048004,364.345001,359.860992,359.221008,358.631989,359.984009,357.833008,356.446991,353.304993,342.877014,343.931,349.80899,352.678986,335.342987,358.416992,358.345001,347.270996,354.70401,352.989014,357.618011,335.591003,26456900,15585700,18127500,11272500,13033000,7845880,18192700,,,,,,,,-6.457127,-0.020086,-3.090319,2.140407,-0.483501,1.311372,-6.159368,7.468368,3.078719,4.736045,4.400167,2.486914,2.068152,6.298156,,,,,,,
2014-10-24,2014-10-30,37,358.591003,358.610992,347.487,354.777008,353.214996,357.088989,335.709015,364.345001,359.860992,359.221008,358.631989,359.984009,357.833008,350.912994,353.304993,342.877014,343.931,349.80899,352.678986,335.342987,335.071991,358.345001,347.270996,354.70401,352.989014,357.618011,335.591003,345.304993,15585700,18127500,11272500,13033000,7845880,18192700,30177900,,,,,,,,-0.020086,-3.090319,2.140407,-0.483501,1.311372,-6.159368,2.894592,3.078719,4.736045,4.400167,2.486914,2.068152,6.298156,4.718671,,,,,,,
2014-10-25,2014-10-31,38,358.610992,347.487,354.777008,353.214996,357.088989,335.709015,345.009003,359.860992,359.221008,358.631989,359.984009,357.833008,350.912994,348.045013,342.877014,343.931,349.80899,352.678986,335.342987,335.071991,337.141998,347.270996,354.70401,352.989014,357.618011,335.591003,345.304993,338.321014,18127500,11272500,13033000,7845880,18192700,30177900,12545400,,,,,,,,-3.090319,2.140407,-0.483501,1.311372,-6.159368,2.894592,-2.022554,4.736045,4.400167,2.486914,2.068152,6.298156,4.718671,3.160212,,,,,,,
2014-10-26,2014-11-01,39,347.487,354.777008,353.214996,357.088989,335.709015,345.009003,338.649994,359.221008,358.631989,359.984009,357.833008,350.912994,348.045013,340.528992,343.931,349.80899,352.678986,335.342987,335.071991,337.141998,321.054993,354.70401,352.989014,357.618011,335.591003,345.304993,338.321014,325.748993,11272500,13033000,7845880,18192700,30177900,12545400,16677200,,,,,,,,2.140407,-0.483501,1.311372,-6.159368,2.894592,-2.022554,-3.716004,4.400167,2.486914,2.068152,6.298156,4.718671,3.160212,5.75048,,,,,,,
2014-10-27,2014-11-02,40,354.777008,353.214996,357.088989,335.709015,345.009003,338.649994,326.075012,358.631989,359.984009,357.833008,350.912994,348.045013,340.528992,329.049988,349.80899,352.678986,335.342987,335.071991,337.141998,321.054993,320.626007,352.989014,357.618011,335.591003,345.304993,338.321014,325.748993,325.891998,13033000,7845880,18192700,30177900,12545400,16677200,8603620,,,,,,,,-0.483501,1.311372,-6.159368,2.894592,-2.022554,-3.716004,0.0439,2.486914,2.068152,6.298156,4.718671,3.160212,5.75048,2.583449,,,,,,,
2014-10-28,2014-11-03,41,353.214996,357.088989,335.709015,345.009003,338.649994,326.075012,325.569,359.984009,357.833008,350.912994,348.045013,340.528992,329.049988,334.002014,352.678986,335.342987,335.071991,337.141998,321.054993,320.626007,325.480988,357.618011,335.591003,345.304993,338.321014,325.748993,325.891998,327.553986,7845880,18192700,30177900,12545400,16677200,8603620,12948500,,,,,,,,1.311372,-6.159368,2.894592,-2.022554,-3.716004,0.0439,0.509981,2.068152,6.298156,4.718671,3.160212,5.75048,2.583449,2.617272,,,,,,,
2014-10-29,2014-11-04,42,357.088989,335.709015,345.009003,338.649994,326.075012,325.569,327.161011,357.833008,350.912994,348.045013,340.528992,329.049988,334.002014,331.766998,335.342987,335.071991,337.141998,321.054993,320.626007,325.480988,325.076996,335.591003,345.304993,338.321014,325.748993,325.891998,327.553986,330.492004,18192700,30177900,12545400,16677200,8603620,12948500,15655500,,,,,,,,-6.159368,2.894592,-2.022554,-3.716004,0.0439,0.509981,0.896957,6.298156,4.718671,3.160212,5.75048,2.583449,2.617272,2.044865,,,,,,,
2014-10-30,2014-11-05,43,335.709015,345.009003,338.649994,326.075012,325.569,327.161011,330.683014,350.912994,348.045013,340.528992,329.049988,334.002014,331.766998,343.368988,335.071991,337.141998,321.054993,320.626007,325.480988,325.076996,330.683014,345.304993,338.321014,325.748993,325.891998,327.553986,330.492004,339.485992,30177900,12545400,16677200,8603620,12948500,15655500,19817200,,,,,,,,2.894592,-2.022554,-3.716004,0.0439,0.509981,0.896957,2.721394,4.718671,3.160212,5.75048,2.583449,2.617272,2.044865,3.836294,,,,,,,
2014-10-31,2014-11-06,44,345.009003,338.649994,326.075012,325.569,327.161011,330.683014,339.458008,348.045013,340.528992,329.049988,334.002014,331.766998,343.368988,352.966003,337.141998,321.054993,320.626007,325.480988,325.076996,330.683014,338.424011,338.321014,325.748993,325.891998,327.553986,330.492004,339.485992,349.290009,12545400,16677200,8603620,12948500,15655500,19817200,18797000,,,,,,,,-2.022554,-3.716004,0.0439,0.509981,0.896957,2.721394,2.8879,3.160212,5.75048,2.583449,2.617272,2.044865,3.836294,4.283885,,,,,,,
2014-11-01,2014-11-07,45,338.649994,326.075012,325.569,327.161011,330.683014,339.458008,349.817993,340.528992,329.049988,334.002014,331.766998,343.368988,352.966003,352.731995,321.054993,320.626007,325.480988,325.076996,330.683014,338.424011,341.776001,325.748993,325.891998,327.553986,330.492004,339.485992,349.290009,342.415009,16677200,8603620,12948500,15655500,19817200,18797000,16834200,,,,,,,,-3.716004,0.0439,0.509981,0.896957,2.721394,2.8879,-1.968278,5.75048,2.583449,2.617272,2.044865,3.836294,4.283885,3.131913,,,,,,,
2014-11-02,2014-11-08,46,326.075012,325.569,327.161011,330.683014,339.458008,349.817993,342.153992,329.049988,334.002014,331.766998,343.368988,352.966003,352.731995,347.032013,320.626007,325.480988,325.076996,330.683014,338.424011,341.776001,342.153992,325.891998,327.553986,330.492004,339.485992,349.290009,342.415009,345.488007,8603620,12948500,15655500,19817200,18797000,16834200,8535470,,,,,,,,0.0439,0.509981,0.896957,2.721394,2.8879,-1.968278,0.897448,2.583449,2.617272,2.044865,3.836294,4.283885,3.131913,1.42568,,,,,,,
